Date,Open,High,Low,Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,trend_stc,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,others_dr,others_dlr,others_cr
2020-09-16,6.17181396484375,6.244687080383301,4.075332164764404,4.608442783355713,58191896,-126475474.03009458,105996915,-0.5687340225521208,-97891126.28129959,0.0,-9.393347719998726,-9.393347719998726,383950523.00953364,732.5855071760687,6.630404428517768,0.0,5.449548959732056,7.131761312484741,3.76733660697937,61.73767279394795,0.25,0.0,0.0,6.096429427464804,9.535153468449911,2.6577053864796953,112.81108333653258,0.2836426205804494,0.0,0.0,4.075332164764404,10.03377628326416,7.054554224014282,109.3382986835799,0.08947144724175707,0.0,-0.13419357799736442,-0.026838715599472887,-0.10735486239789153,5.449548959732056,5.449548959732056,6.031853235684909,6.166046813682273,0.0,0.0,0.0,0.08822305339978997,0.5720020310477866,-0.4837789776479966,-0.052229393129674076,1.91182149737726,-66.66666666666669,-3.6172730642737765,1974.1967207231326,2203.72170068418,-229.52497996104762,7.054554224014282,7.054554224014282,7.054554224014282,7.054554224014282,2.01804522051153,2.369233539008131,4.0,8.0,-4.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,7.700109425587295,8.947144724175706,14.721585571471635,-91.0528552758243,0.0,6.054850051825949,0.0,-5.40856240615181,-1.081712481230362,-4.326849924921448,-26.741449282393127,-31.117521155755256,-26.741449282393127
2020-09-17,4.585522174835205,4.921655178070068,3.0208559036254883,3.0208559036254883,20733476,-147208950.03009456,85263439,-0.6055136241479361,-88608993.16522844,0.0,-10.898234796895393,-10.145791258447058,-22703941.392418906,480.2132430191185,6.376606967706861,0.0,4.639984607696533,7.310137122790515,1.969832092602552,115.09316262234532,0.19680969627795647,0.0,0.0,5.282438172234429,8.208520624372694,2.3563557200961642,110.7852986341932,0.11354775444617662,0.0,0.0,3.0208559036254883,10.03377628326416,6.527316093444824,151.14102680440044,0.0,0.0,-0.3644468323270855,-0.09436033894499542,-0.2700864933820901,4.639984607696533,4.639984607696533,5.568622876906536,5.933069709233622,0.0,0.0,0.0,0.14331718297339782,0.7454584028426313,-0.6021412198692335,-0.18649101793545783,2.75553105211789,-84.16536008307865,-2.807708712238254,1532.361321347845,1979.9349075720684,-447.5735862242234,6.527316093444824,6.527316093444824,6.527316093444824,6.527316093444824,2.01804522051153,2.369233539008131,4.0,12.0,-8.0,-1.0,10.03377628326416,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-100.0,6.041450641128762,0.0,9.81439038098109,-100.0,0.0,5.919201941572852,0.0,-12.285064298691603,-3.3223828447226103,-8.962681453968994,-34.44953001183183,-42.234980588542626,-51.97867569808815
2020-09-18,3.0451860427856445,3.854491949081421,2.8537540435791016,3.0012331008911133,14830439,-157668256.18658456,70433000,-0.611248472498041,-75992139.1100474,0.0,-4.164326693348571,-8.151969736747564,-7238920.244171646,477.093885446687,6.196067176539383,0.0,4.230296730995178,6.943489631654807,1.5171038303355493,128.2743539374057,0.27350235034795056,0.0,0.0,4.770951886971791,7.215698202451071,2.3262055714925127,102.48463507482583,0.1380567638295561,0.0,0.0,2.8537540435791016,10.03377628326416,6.443765163421631,169.72857216084597,0.020540195056342983,0.0,-0.5422567926915525,-0.18393962969430683,-0.35831716299724564,4.230296730995178,4.230296730995178,5.173639834442625,5.715896627134177,0.0,0.0,0.0,0.19514136252751665,0.8447118094395348,-0.6495704469120182,-0.370812946059297,3.5183451013562337,-77.17766158035244,-2.398020835536899,1308.7662406523766,1812.1427408421455,-503.3765001897689,6.443765163421631,6.443765163421631,6.443765163421631,6.443765163421631,2.01804522051153,2.369233539008131,4.0,16.0,-12.0,-1.0,9.893517875671387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,6.927154296817036,2.0540195056342982,3.667054743270002,-97.9459804943657,0.0,5.79040338631014,0.0,-18.816057761506162,-6.421117828079321,-12.39493993342684,-0.6495775819966965,-0.651696518246192,-52.2906114553313
2020-09-19,3.019028902053833,5.558504104614258,2.98711895942688,4.5942912101745605,74813134,-138961682.97251332,145246134,-0.41760614280772274,-48110166.40866789,44.22008196329202,3.1576033878329457,-5.324576455602436,39614565.543779776,477.093885446687,5.78775869270556,0.0,4.3030956268310545,6.747257536506969,1.85893371715514,113.60016702561073,0.559569618156376,0.0,0.0,4.692755794525146,7.162829875946045,2.2226817131042482,105.27179293252962,0.4800684956999458,0.0,0.0,2.8537540435791016,10.03377628326416,6.443765163421631,166.85713872858247,0.24241389629341945,0.0,-0.5483054675335053,-0.25681279726214656,-0.2914926702713587,4.3030956268310545,4.3030956268310545,5.0845092768629225,5.632814744396428,0.0,0.0,0.0,0.33378212519240513,0.7626018477682756,-0.4288197225758704,-0.5317023962703794,4.292813627571797,-18.56939073101631,-2.4708197313727753,1348.4976457406196,1719.4137218218402,-370.9160760812206,6.443765163421631,6.443765163421631,6.443765163421631,6.443765163421631,2.01804522051153,2.369233539008131,4.0,16.0,-12.0,-1.0,9.611927322387695,0.0,0.0,0.0,36.81633666982152,0.0,0.0,0.0,-97.87319138917606,18.455142488331155,24.241389629341946,8.765136378325415,-75.75861037065806,0.0,5.6935797464467575,0.0,-20.204764201897802,-9.177847102843018,-11.026917099054785,53.08011926199412,42.57912536519009,-26.966411116653
2020-09-20,4.639492988586426,5.006308078765869,3.481534957885742,3.685931921005249,21665054,-154818303.98956037,123581080,-0.4368181155991636,-44048664.50046602,39.53018737803674,-0.20332613222950505,-4.30032639092785,35427399.30284889,382.7653714657651,5.682017923173051,0.0,4.20023500919342,6.478365602569216,1.9221044158176244,108.47633946145645,0.3871216844013181,0.0,0.0,4.586950659751892,6.899474581082662,2.274426738421122,100.83055575992847,0.30518715278237196,0.0,0.0,2.8537540435791016,10.03377628326416,6.443765163421631,170.94334540732882,0.11590185234059244,0.0,-0.6192576721151113,-0.32930177223273954,-0.28995589988237175,4.20023500919342,4.20023500919342,4.869343529807896,5.488601201923007,0.0,0.0,0.0,0.4205055726509419,0.8150968008327744,-0.39459122818183245,-0.698561220204479,5.034367651471179,-35.046910574822185,-2.3679591137351412,1292.3594746864687,1648.2380139659451,-355.8785392794764,6.443765163421631,6.443765163421631,6.443765163421631,6.443765163421631,2.01804522051153,2.369233539008131,4.0,16.0,-12.0,-1.0,9.341600391235351,0.0,0.0,0.0,30.02781725470311,0.0,0.0,0.0,-96.16570746050014,17.902010732295228,11.590185234059243,12.628531456345163,-88.40981476594075,-0.5798842430114748,5.598443257516996,0.0,-25.332519929675577,-12.40878166820953,-12.923738261466047,-19.771478289352896,-22.029110203546807,-41.4062312866592
2020-09-21,3.685931921005249,3.870640993118286,2.9530599117279053,3.0515201091766357,11724967,-164026997.30146176,111856113,-0.44798031725169196,-38818634.93727098,37.77152889783481,-6.511682876759102,-4.668885805233058,-6301568.443665665,316.88491625903356,5.605475260435802,0.0,4.036132880619594,6.293293911904625,1.7789718493345634,111.84770660665313,0.28189133212121653,0.0,0.0,4.401920613788423,6.515166986556281,2.288674241020566,96.01474257161286,0.1804914651662031,0.0,0.0,2.8537540435791016,10.03377628326416,6.443765163421631,177.89360390391408,0.027543934962269548,0.0,-0.718398288362069,-0.40712107545860543,-0.31127721290346355,4.036132880619594,4.036132880619594,4.5896783881723175,5.3080766765343865,0.0,0.0,0.0,0.42068329790713044,0.8863014512094265,-0.46561815330229606,-0.8827042485650989,5.726397575579715,-76.4357382676703,-2.2038569851613152,1202.7975648340328,1584.6036640899576,-381.8060992559249,6.443765163421631,6.443765163421631,6.443765163421631,6.443765163421631,2.01804522051153,2.369233539008131,4.0,16.0,-12.0,-1.0,9.0820865373291,0.0,0.0,0.0,26.370585026556327,0.0,0.0,0.0,-94.7909791485025,17.45853995151643,2.7543934962269545,12.86198945320938,-97.24560650377305,-0.7340220723833353,5.51820625394471,0.0,-30.716804907919233,-16.07038631615147,-14.646418591767763,-17.211707254093632,-18.888352655131513,-51.491219226740114
2020-09-22,3.037956953048706,3.1997029781341553,2.470244884490967,2.6388471126556396,7309186,-167957387.29821163,104546927,-0.4497369280492211,-33704016.18748217,36.9102414329171,-5.757238184345086,-4.8243647165347765,-3006526.3801277014,274.03091455946594,5.549972340294704,0.0,3.8614721596240997,6.166273066394657,1.5566712528535418,119.37420815147979,0.23476558357450963,0.0,0.0,4.197880327701569,6.138153165578842,2.257607489824295,92.44059794051421,0.09824381792831623,0.0,0.0,2.470244884490967,10.03377628326416,6.2520105838775635,195.8717060777534,0.022291469325032506,0.0,-0.8208054684676327,-0.48985795406041094,-0.33094751440722175,3.8614721596240997,3.8614721596240997,4.28955049963129,5.110355968098923,0.0,0.0,0.0,0.4175236521858739,0.9258510170118686,-0.5083273648259947,-1.0845503962265466,6.374642063750524,-95.71678357307495,-2.0291962641658206,1107.4730989998036,1524.9623434536884,-417.4892444538848,6.2520105838775635,6.2520105838775635,6.2520105838775635,6.2520105838775635,2.01804522051153,2.369233539008131,4.0,32.0,-28.0,-1.0,8.832953237579101,0.0,0.0,0.0,24.297531998512696,0.0,0.0,0.0,-93.67539506974033,22.114105858252504,2.2291469325032507,5.524575220929818,-97.77085306749674,-0.7425483256578445,5.446848813791205,0.0,-35.95860976976096,-20.04803100687337,-15.910578762887592,-13.523522105589002,-14.529774088694946,-58.051314917763634
2020-09-23,2.6296229362487793,2.8317348957061768,2.321800947189331,2.4203379154205322,8073182,-172910530.39681095,96473745,-0.4532028010442293,-29141165.948977996,36.081863967770715,-1.6309307797240382,-4.425185474433435,-1656957.5742424275,274.03091455946594,5.485955949052901,0.0,3.70134613249037,6.055568745246368,1.3471235197343718,127.208995240443,0.22793392389298936,0.0,0.0,4.011963023079766,5.79330931769477,2.230616728464762,88.80173044304685,0.053252191202040756,0.0,0.0,2.321800947189331,10.03377628326416,6.177788615226746,208.35596185882773,0.01277713736586632,0.0,-0.9091160387745916,-0.5737095710032472,-0.3354064677713444,3.70134613249037,3.70134613249037,4.001979332829635,4.911095371604227,0.0,0.0,0.0,0.42511533335142165,0.9465841919573247,-0.5214688586059031,-1.297947194779658,6.97972074820768,-97.36219907465025,-1.8690702370320906,1020.0812233927298,1468.864441224693,-448.78321783196327,6.177788615226746,6.177788615226746,6.177788615226746,6.177788615226746,2.01804522051153,2.369233539008131,4.0,36.0,-32.0,-1.0,8.451190736393814,0.0,0.0,0.0,23.255078227195895,0.0,0.0,0.0,-92.75821376334453,22.127836294232075,1.277713736586632,2.08708472177228,-98.72228626341337,-0.6992063972685072,5.37928703758767,0.0,-40.58511503975781,-24.15544781345026,-16.42966722630755,-8.280479615024294,-8.643495713356298,-61.524867234768955
2020-09-24,2.4203391075134277,2.655695915222168,2.316910982131958,2.5921199321746826,6767329,-168683099.43688226,103241074,-0.43441719488724323,-24812070.038601305,35.41638647246751,-0.45288178474342894,-3.9838183978012114,-188191.11521044065,293.48009264988576,5.434292112999809,1.6416869640350342,3.590423512458801,5.920888164458172,1.25995886045943,129.8155854824724,0.2858144770769971,0.0,0.0,3.862924281756083,5.500014440218608,2.225834123293559,84.75911196055361,0.11187099469986479,0.0,0.0,2.316910982131958,10.03377628326416,6.175343632698059,214.92911001598034,0.03566330877932346,0.0,-0.9542415265529374,-0.6498159621131853,-0.3044255644397521,3.590423512458801,3.590423512458801,3.7850778865750274,4.739319413127965,0.0,0.0,0.0,0.4346517300366931,0.9563347068690549,-0.5216829768323618,-1.5058763533622717,7.542674580406509,-86.3315707241709,-1.758147617000522,959.5430586400764,1305.1195943352318,-345.57653569515537,4.280799031257629,6.175343632698059,5.228071331977844,6.175343632698059,2.01804522051153,2.369233539008131,4.0,36.0,-32.0,-1.0,7.960839553257455,0.0,0.0,0.0,25.945012175473877,0.0,0.0,0.0,-91.74109886674772,27.745489884476676,3.5663308779323457,2.3577305156740773,-96.43366912206766,-0.8884112119674685,5.312171270465975,0.0,-44.87899126826824,-28.300156504413856,-16.57883476385438,7.09743939718861,6.856888265681627,-58.794118003768816
2020-09-25,2.578697919845581,2.652306079864502,2.357283115386963,2.4665579795837402,5493880,-170107174.28136462,97747194,-0.4319728520026486,-21366034.647386882,34.89995143165248,0.09929801123126435,-3.575506756897964,214184.24147757544,279.26395510845083,5.393244156742565,1.5070205640792849,3.4882539185610684,5.8023147008570986,1.1741931362650382,132.67731285173176,0.27924176694192254,0.0,0.0,3.3904587030410767,4.586241841316223,2.19467556476593,70.5381332149887,0.11368383033481555,0.0,0.0,2.316910982131958,10.03377628326416,6.175343632698059,221.22429964374467,0.01939220027979837,0.0,-0.9887380442320812,-0.7176003785369646,-0.27113766569511666,3.4882539185610684,3.4882539185610684,3.5822286701148296,4.570966714346911,0.0,0.0,0.0,0.4449046269302278,0.9571400450586309,-0.5122354181284031,-1.7064902206155708,8.071408298230171,-80.4850236907774,-1.6559780231027892,802.4734182644703,1174.9281162842692,-372.4546980197989,3.937707543373108,6.175343632698059,5.0565255880355835,6.175343632698059,2.01804522051153,2.369233539008131,4.0,36.0,-32.0,-1.0,7.396446696144905,0.0,0.0,0.0,25.248400286800972,0.0,0.0,0.0,-90.88709351667305,29.56937674720096,1.939220027979837,2.2610882141662727,-98.06077997202016,-1.1003838625821203,4.906341382209413,0.0,-48.88957079723374,-32.41803936297784,-16.4715314342559,-4.843987002005767,-4.9652399308395045,-60.79012557172809
