Date,Open,High,Low,Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,trend_stc,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,others_dr,others_dlr,others_cr
2017-11-10,2.007730007171631,2.069469928741455,1.6447800397872925,1.796839952468872,11155000,-9098710.89798998,8037200,-0.29982044135834546,-2163289.483189583,0.0,-0.6737171172915882,-0.6737171172915882,-19977682.43621241,902.5854158995662,1.9525205768972553,0.0,1.8938049674034119,2.0877349972724915,1.6998749375343323,20.480464800446292,0.25,0.0,0.0,1.928338328997294,2.280828336874644,1.5758483211199443,36.558938084339076,0.31347219270088167,0.0,0.0,1.6447800397872925,2.1742300987243652,1.9095050692558289,27.956947418033206,0.28720350506118747,0.0,-0.015470201812918027,-0.0030940403625836057,-0.012376161450334423,1.8938049674034119,1.8938049674034119,1.960934593127324,1.9764047949402421,0.0,0.0,0.0,0.001399867025409185,0.004222411333907019,-0.002822544308497834,-0.019026285957115984,2.0807644126599807,-66.66666666666659,124.96589551660993,-985.0716582162981,-984.6894839932604,-0.38217422303773674,1.9095050692558289,1.9095050692558289,1.9095050692558289,1.9095050692558289,124.39299110199698,122.5597082811029,4.0,8.0,-4.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,21.56939335632024,28.72035050611875,31.6333506444692,-71.27964949388125,0.0,1.8978107251908087,0.0,-3.447595134121125,-0.6895190268242251,-2.7580761072969002,-9.74145841004338,-10.24919495975003,-9.74145841004338
2017-11-11,1.7862800359725952,1.9177500009536743,1.6142899990081787,1.6704699993133545,8178150,-14248794.816462077,-140950,-0.36985503873325165,-2001887.0473623276,0.0,-0.3380559014923822,-0.5058865093919852,-1661820.779414327,839.1074881245506,1.9061691804160263,0.0,1.8193599780400593,2.082815899439621,1.5559040566404976,28.96138472644372,0.21742905238995225,0.0,0.0,1.8636155525843303,2.199762225151062,1.5274688800175984,36.074679898500236,0.21270643288513816,0.0,0.0,1.6142899990081787,2.1742300987243652,1.894260048866272,30.77676251400192,0.10033216112518357,0.0,-0.0374952256865797,-0.009974277427382825,-0.027520948259196876,1.8193599780400593,1.8193599780400593,1.9162477325405596,1.9537429582271393,0.0,0.0,0.0,0.0035681913033500695,0.007833553634488033,-0.004265362331137964,-0.06235389703674281,3.141253455988619,-82.96136250424033,125.04034050597329,-985.6584875173237,-985.0124851679481,-0.6460023493756353,1.894260048866272,1.894260048866272,1.894260048866272,1.894260048866272,124.39299110199698,122.5597082811029,4.0,12.0,-8.0,-1.0,2.1742300987243652,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-100.0,20.649707402692957,10.033216112518357,24.433305800485584,-89.96678388748164,0.0,1.7900938074495005,0.0,-7.706146993669055,-2.092844620193191,-5.6133023734758645,-7.032899785085711,-7.292451655301924,-16.08925118754494
2017-11-12,1.6688899993896484,1.6727999448776245,1.4625600576400757,1.5196900367736816,15298700,-21233045.800574303,-15439650,-0.39448993155614087,-2045437.0995828083,0.0,-0.27256550534375423,-0.42811284137590827,-1956052.3482436133,839.1074881245506,1.8054117601105129,0.0,1.744442492723465,2.089997585529684,1.3988873999172458,39.617825666093516,0.17479504624777695,0.0,0.0,1.785632501045863,2.0903024772802987,1.4809625248114269,34.12460022496092,0.06355649552493961,0.0,0.0,1.4625600576400757,2.1742300987243652,1.8183950781822205,40.79641742578819,0.08027593664974796,0.0,-0.06635203370259557,-0.021249828682425375,-0.04510220502017019,1.744442492723465,1.744442492723465,1.855238856268732,1.9215908899713277,0.0,0.0,0.0,0.0040269511583591626,0.011435841699141457,-0.007408890540782294,-0.13484943681874195,4.135770253862924,-109.29203475138846,125.11525799128988,-986.2490413735188,-985.3216242193408,-0.9274171541779879,1.8183950781822205,1.8183950781822205,1.8183950781822205,1.8183950781822205,124.39299110199698,122.5597082811029,4.0,16.0,-12.0,-1.0,2.1630312967300416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,21.775192242454974,8.027593664974797,15.593720094537302,-91.9724063350252,0.0,1.6588945296306885,0.0,-7.73239602642607,-3.2207549014397667,-4.511641124986303,-9.026199967772596,-9.459863265954633,-23.66320316981251
2017-11-13,1.5260100364685059,1.7350200414657593,1.5176000595092773,1.6866199970245361,12238800,-14443224.85555193,-3200850,-0.2186285462336537,-1461371.4571398133,25.648287330090454,0.10415518061741912,-0.2950458358775764,-36523.42413527914,931.2790338011943,1.7759557262603007,0.0,1.732877993583679,2.0453943291201075,1.4203616580472507,36.06905237340211,0.4259910742269808,0.0,0.0,1.757788674036662,2.0450086514155066,1.4705686966578166,32.67969371076451,0.3761077177471998,0.0,0.0,1.4625600576400757,2.1742300987243652,1.8183950781822205,41.06867556281444,0.3148368294990838,0.0,-0.07488814533384902,-0.03197749201271011,-0.042910653321138914,1.732877993583679,1.732877993583679,1.8292974933080866,1.9041856386419356,0.0,0.0,0.0,0.006180305605115468,0.012646685368015,-0.006466379762899532,-0.2073167040107402,5.091711672320322,-54.41978567400839,125.12682249042966,-986.340201127922,-985.525339601057,-0.8148615268650019,1.8183950781822205,1.8183950781822205,1.8183950781822205,1.8183950781822205,124.39299110199698,122.5597082811029,4.0,16.0,-12.0,-1.0,2.135012447166443,0.0,0.0,0.0,29.22581376222452,0.0,0.0,0.0,-98.07940603867894,30.247884120028107,31.48368294990838,16.514830909133845,-68.51631705009162,0.0,1.6712083871257142,0.0,-9.193153352960099,-4.415234591743833,-4.777918761216266,10.984474215890017,10.422013361233345,-15.278007404764216
2017-11-14,1.6892800331115723,1.7353700399398804,1.568269968032837,1.592579960823059,7829600,-19994698.731749818,-11030450,-0.2705919039326727,-1357789.2300402808,22.060155008004543,0.054443586696658254,-0.22514795136272947,907816.6992307035,879.3541697495161,1.7607100324837397,0.0,1.709494988123576,2.0133436602196415,1.4056463160275103,35.54835483075438,0.3076097774362616,0.0,0.0,1.7368361155192058,2.0040361086527505,1.4696361223856609,30.768590167606995,0.23005958382632083,0.0,0.0,1.4625600576400757,2.1742300987243652,1.8183950781822205,41.630425712183744,0.18269688995884537,0.0,-0.08822432519396517,-0.04322685864896112,-0.04499746654500405,1.709494988123576,1.709494988123576,1.792879411387313,1.8811037365812782,0.0,0.0,0.0,0.007896510632288937,0.013950340010588766,-0.006053829378299829,-0.2857491184697746,5.994391675951301,-54.70578678155447,125.15020549588976,-986.5245229052153,-985.6918701517501,-0.8326527534652541,1.8183950781822205,1.8183950781822205,1.8183950781822205,1.8183950781822205,124.39299110199698,122.5597082811029,4.0,16.0,-12.0,-1.0,2.1081143515853884,0.0,0.0,0.0,24.824259191679786,0.0,0.0,0.0,-96.54576136029898,28.611516605128738,18.269688995884536,19.260321870255904,-81.73031100411546,-0.05671567122141519,1.635300033722374,0.0,-12.643923702037732,-6.060972413802613,-6.582951288235119,-5.575650494324657,-5.737120641859173,-20.00180960370218
2017-11-15,1.5877699851989746,1.6249799728393555,1.4954999685287476,1.5304499864578247,7615500,-23498956.027426224,-18645950,-0.28830262603127943,-1231412.3142885896,19.535138110260775,-0.15570590383754637,-0.21357427677519894,-733648.1883427121,845.0486696374439,1.7410518073585366,0.0,1.6839171307427543,1.9918721816427625,1.375962079842746,36.57603397195361,0.25082866178616475,0.0,0.0,1.71018952415103,1.9577152331670125,1.4626638151350477,28.947167026866072,0.13692753692587167,0.0,0.0,1.4625600576400757,2.1742300987243652,1.8183950781822205,42.26277101714507,0.09539523219821502,0.0,-0.10262373101442845,-0.055106233122054586,-0.04751749789237387,1.6839171307427543,1.6839171307427543,1.7525056537058532,1.8551293847202817,0.0,0.0,0.0,0.008337013553921151,0.015833485592693375,-0.007496472038772224,-0.3707509521935902,6.840361249375514,-81.04932454287771,125.17578335327059,-986.7261460943228,-985.8396238578318,-0.8865222364909187,1.8183950781822205,1.8183950781822205,1.8183950781822205,1.8183950781822205,124.39299110199698,122.5597082811029,4.0,16.0,-12.0,-1.0,2.0822921798275758,0.0,0.0,0.0,22.421665074952188,0.0,0.0,0.0,-95.31320074095967,28.49053782952097,9.539523219821502,19.76429838853814,-90.4604767801785,-0.08891171557562694,1.583963878344752,0.0,-15.627869819189339,-7.974351894879959,-7.65351792430938,-3.901215379673939,-3.979351712276519,-23.122711310903387
2017-11-16,1.556190013885498,1.6822199821472168,1.5368900299072266,1.5779199600219727,8928640,-27386082.291637342,-9717310,-0.3028208194452858,-994947.3687096778,29.318359385479923,0.0802692429209415,-0.17159663110432175,-20157.393405451672,845.0486696374439,1.7270282772148164,0.0,1.6706674844026566,1.967142208099008,1.3741927607063051,35.49176918378289,0.3435827459010036,0.0,0.0,1.6962920824686687,1.931043321887652,1.4615408430496852,27.678162486892266,0.2478775346624993,0.0,0.0,1.4625600576400757,2.1742300987243652,1.8183950781822205,42.59794649314944,0.16209745489094413,0.0,-0.10894903704512227,-0.06587479390666812,-0.04307424313845415,1.6706674844026566,1.6706674844026566,1.7256463162160254,1.8345953532611476,0.0,0.0,0.0,0.009802248774131096,0.016510478156637726,-0.00670822938250663,-0.4515675407698802,7.660237127008538,-51.6801201936899,125.18903299961069,-986.8305893989306,-985.9634945504692,-0.8670948484613064,1.8183950781822205,1.8183950781822205,1.8183950781822205,1.8183950781822205,124.39299110199698,122.5597082811029,4.0,16.0,-12.0,-1.0,2.0575028949400758,0.0,0.0,0.0,28.143955765579676,0.0,0.0,0.0,-93.74284582309035,31.58202188081658,16.209745489094413,14.67298590160015,-83.79025451090558,-0.10598337501287469,1.5811842230985418,0.0,-17.275702781112162,-9.8346220721264,-7.441080708985762,3.1017004138773396,3.0545697758927073,-20.738208129456005
2017-11-17,1.580049991607666,1.5826599597930908,1.495300054550171,1.5103600025177002,8508840,-32961249.520182103,-18226150,-0.33312553717925225,-934934.4401526744,26.393294385814016,-0.07245905684609884,-0.15920443432204387,-87373.4086765048,808.8672069167667,1.7100366183896023,0.0,1.6528555419709947,1.9499807491676706,1.3557303347743188,35.9529553130046,0.2602096086062255,0.0,0.0,1.6777529628188521,1.8961273873293842,1.4593785383083204,26.031773371883464,0.11672947581579317,0.0,0.0,1.4625600576400757,2.1742300987243652,1.8183950781822205,43.05700183790038,0.06716588041952314,0.0,-0.11805257499492261,-0.07631035012431901,-0.0417422248706036,1.6528555419709947,1.6528555419709947,1.6925253448778215,1.810577919872744,0.0,0.0,0.0,0.010156856154562549,0.01797488330906672,-0.007818027154504172,-0.5324243931121947,8.426179059092254,-79.79710031247993,125.20684494204235,-986.9709960242318,-986.0754391586652,-0.8955568655666184,1.8183950781822205,1.8183950781822205,1.8183950781822205,1.8183950781822205,124.39299110199698,122.5597082811029,4.0,36.0,-32.0,-1.0,2.0337051814480755,0.0,0.0,0.0,25.285354568524795,0.0,0.0,0.0,-92.46959088881863,30.317148646667558,6.716588041952314,10.821952250289408,-93.28341195804768,-0.09282066557142477,1.5508735388276789,0.0,-18.798861526717936,-11.627469963044708,-7.171391563673227,-4.281583300545333,-4.375946404319814,-24.131867773898218
2017-11-18,1.5113600492477417,1.6767799854278564,1.49822998046875,1.6743299961090088,32167300,-1676722.29226036,13941150,-0.012788401951971864,-47876.38086662092,47.372249269660834,0.026934603356717445,-0.1385223190244037,3127882.1432380443,808.8672069167667,1.687075183131184,0.2150359869003296,1.6550029873847962,1.9371750353652615,1.372830939404331,34.09927959421367,0.5342468519871794,0.0,0.0,1.671622331937154,1.8860143144925434,1.4572303493817649,25.65076793475735,0.5063147514650066,0.0,0.0,1.4625600576400757,2.1742300987243652,1.8183950781822205,43.00113332175049,0.2975675892528561,0.0,-0.1107594206235798,-0.08320016422417117,-0.02755925639940862,1.6550029873847962,1.6550029873847962,1.6897260604518505,1.8004854810754303,0.0,0.0,0.0,0.01157338351753804,0.01861524308482984,-0.007041859567291801,-0.5929657375644038,9.223808435967745,-31.93149664885414,125.20469749662855,-986.954068304825,-986.3695234402876,-0.5845448645374063,1.7660149931907654,1.8183950781822205,1.792205035686493,1.8183950781822205,124.39299110199698,122.5597082811029,4.0,36.0,-32.0,-1.0,2.0108593764957554,0.0,0.0,0.0,40.95933691968166,0.0,0.0,0.0,-89.42866708854751,40.81799615539792,29.75675892528561,17.561030818777443,-70.24324107471439,-0.09031201004982004,1.6055481099222437,0.0,-6.08711459713964,-10.519398889863696,4.432284292724057,10.856351685556964,10.306504825725742,-15.895356522169235
2017-11-19,1.673359990119934,1.7012300491333008,1.5678000450134277,1.6137700080871582,38081700,-13518232.099174017,-24140550,-0.0798976189651989,-370497.9401502047,60.718116576879844,0.016471305246043084,-0.12302295659735904,2114792.1343895504,808.8672069167667,1.6736887212736626,0.2068753886222839,1.6512545347213745,1.9213375255791783,1.3811715438635708,32.71246015422769,0.43060553995799095,0.0,0.0,1.632417666912079,1.8321236371994019,1.432711696624756,24.46750906158614,0.4533122149575905,0.0,0.0,1.4625600576400757,2.1742300987243652,1.8183950781822205,43.09874862535191,0.21247199083538962,0.0,-0.10861419136431572,-0.08828296965220009,-0.020331221712115627,1.6512545347213745,1.6512545347213745,1.6780405139342056,1.7866547052985213,0.0,0.0,0.0,0.01316003395280178,0.019453998136534346,-0.0062939641837325665,-0.6424659355294268,10.016022879636383,-24.95655627148204,125.20844594929197,-979.1651432463293,-985.7132439991799,6.548100752850587,1.690155029296875,1.8183950781822205,1.7542750537395477,1.8183950781822205,124.39299110199698,122.5597082811029,4.0,36.0,-32.0,-1.0,1.9889274037415283,0.0,0.0,0.0,37.804860148479435,0.0,0.0,0.0,-86.95626200958097,42.12034154412163,21.247199083538963,19.24018201692563,-78.75280091646104,-0.08964418714696709,1.606124394703963,0.0,5.173736575531476,-7.3807717967846616,12.554508372316137,-3.6169684687359482,-3.6840021325103223,-18.93739495750515
